timestamp,true_x,true_y,true_z,estimated_x,estimated_y,estimated_z,true_vx,true_vy,true_vz,estimated_vx,estimated_vy,estimated_vz,position_error,velocity_error,P_x,P_y,P_z,innovation_flow_x,innovation_flow_y,innovation_lidar,innovation_baro,innovation_camera_x,innovation_camera_y,NIS_flow,NIS_lidar,NIS_baro,NIS_camera,flow_accepted,lidar_accepted,baro_accepted,camera_accepted,camera_available
0.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.3061447348531254e-15,1.5306383611560064e-17,-1.904794404994141e-17,0.0,0.0,0.0,0.0,1.306373291956145e-15,0.25,0.25,0.25,,,,,,,,,,,False,False,False,False,True
0.02,7.528091414342657e-06,-1.93502596470764e-06,2.0000057184732523,-6.278334308992837e-05,-0.0008919552852473288,1.9707638546685395,0.0007537935250095973,-0.0001930045927556413,0.0005711060614362822,-0.002768345246698641,-0.04489634757923863,0.001827575581069442,0.0008927932346044927,0.044859481175645304,0.25002063983236394,0.2500206398320571,0.0009277240060554227,-0.003537910135589636,-0.04495954011381985,-0.029357957843103577,,,,0.022137997953540694,0.0034350593382602734,,,True,True,False,False,True
0.04,3.0192609556072675e-05,-7.700558798572929e-06,2.0000228155505586,-0.00011951219239513417,-0.0017911881213879943,2.019496369363402,0.0015137073860595311,-0.0003830684890384075,0.0011379118788340961,-0.0029893817175335622,-0.04509022693860327,0.14188848242971333,0.0017897595966046404,0.14774887796023164,0.2500426408733113,0.2500426408723989,0.0002565526424117009,-0.003537910135589636,-0.04495954011381985,0.04824506190501898,0.3986741306190802,,,0.022137997953540694,1.889202913305325,1.292492475183001,,True,True,True,False,True
0.06,6.811963395702657e-05,-1.723879458989531e-05,2.0000512081477377,0.00010703954615904146,-0.0005334542025228043,2.0203246975716023,0.0022800982710735867,-0.0005702897604232957,0.0017007010643219434,0.004184563728357427,0.0003502192803604009,0.11265069376662672,0.0005176805066381699,0.11097015457416301,0.2500632378572531,0.2500632166952232,0.00021408318833327205,0.008452219602618289,0.06719577048892414,-0.03531829265715691,0.3986741306190802,,,1.2779921572129884,1.0603344748589185,1.292492475183001,,True,True,True,False,True
0.08,0.00012144177449487812,-3.049372399101331e-05,2.000090818371158,0.020561123126283602,-0.1379758490082356,2.0177943237433014,0.003053264157832643,-0.000754750244976253,0.002259710367368315,0.00296340513769062,-0.07082562418466311,0.10198106148098884,0.13945143103697114,0.12187814946593575,0.013616339903467757,0.013616340030397444,0.0002637658456582266,-0.004549086334726431,-0.0969268227046086,-0.033574549046162305,0.7363290776033922,0.021667034170301813,-0.14211203137228334,2.490633851292057,0.9616097677117369,4.418222441883238,0.07813455123484254,True,True,True,True,True
0.1,0.00019029709038227707,-4.74108334373112e-05,2.0001415726551195,0.021008029819539607,-0.13905930931582505,2.0095029275435414,0.003833453395115928,-0.0009365180697464859,0.002815136946247935,0.023774928098846373,-0.06009197969109588,0.0380617672148632,0.1405620358263934,0.07168930183986261,0.013637022932613638,0.01363703062671754,0.0002480972960769701,0.027008738851866835,0.029523196619412634,-0.012516719345070593,0.7363290776033922,0.021667034170301813,-0.14211203137228334,0.4653297432270077,0.13914216340530328,4.418222441883238,0.07813455123484254,True,True,True,True,True
0.12,0.0002748281771398032,-6.793685301117806e-05,2.00020340103369,0.02158129561781199,-0.13697806658289227,2.016729534289834,0.004620872452912326,-0.001115649802009308,0.0033671445707229787,0.030279948216084315,0.03697033049080503,0.07879792394671783,0.1385581075847,0.08831043279904618,0.013657543866378396,0.013657517089862643,0.00022426831602743506,-0.004748717939828815,0.041213422616439274,-0.02976603407898115,0.7363290776033922,0.021667034170301813,-0.14211203137228334,0.6194370161277186,0.7742958915159274,4.418222441883238,0.07813455123484254,True,True,True,True,True
0.14,0.0003751813968285733,-9.201954405669358e-05,2.0002762365271973,0.022350123520233762,-0.13701180293885137,2.0123475497200425,0.0054156925268327855,-0.00129219228112106,0.003915868905048084,0.038519644322874864,0.025699421056301557,0.04549954628433197,0.13867200570484478,0.05961225578231354,0.013678082760588522,0.013678106460576179,0.00021366966814071963,0.007342958422327801,-0.04394302743672635,-0.038667009563660315,0.06281399598556936,0.021667034170301813,-0.14211203137228334,0.5235130581426314,1.3318020399170214,0.03215764964212517,0.07813455123484254,True,True,True,True,True
0.16,0.0004915062302723157,-0.00011960752061803793,2.0003600146262452,0.06844398364014667,-0.015264006406803535,1.996773675414591,0.006218055157515645,-0.0014661841759960044,0.004461422000727745,0.0473615434261099,0.02536280859419254,-0.0689994115845711,0.06961962369736985,0.08836897391628892,0.007022891090991545,0.007022911213174183,0.00020943606748154923,0.012997877132222863,-0.006901846731041616,-0.0682690262369583,0.12480420594484642,0.09263669403354904,0.24930011717691664,0.06840267954324834,4.2535697214301,0.1269345099138368,2.5176076866860524,True,True,True,True,True
0.18,0.0006239547329963651,-0.00015065009961344426,2.000454672858657,0.06967515267526729,-0.015395370677196762,1.9883935030895161,0.007028077004464976,-0.0016376573072100268,0.00500389611122853,0.0605435065548516,0.01131904045590238,-0.11794189985947187,0.07071399750227159,0.1347124566020386,0.007043407622226058,0.007043459518536298,0.00016436284984624696,0.018825192439455025,-0.039794584845061626,-0.04952685248098598,0.12480420594484642,0.09263669403354904,0.24930011717691664,0.6285509520150431,2.2423388971225213,0.1269345099138368,2.5176076866860524,True,True,True,True,True
